system,question_index,faithfulness,answer_relevance
system2_basic_rag,23,0.25,1.0
system2_basic_rag,24,0.8571,0.8967
system2_basic_rag,25,1.0,0.7444
system2_basic_rag,26,0.0,0.0
system2_basic_rag,27,1.0,1.0
system2_basic_rag,28,1.0,0.9871
system2_basic_rag,29,1.0,1.0
system2_basic_rag,30,0.5,0.0
system2_basic_rag,31,1.0,0.9298
system2_basic_rag,32,1.0,1.0
system2_basic_rag,33,0.5,0.0
system2_basic_rag,34,1.0,0.8878
system2_basic_rag,35,0.4,0.7471
system2_basic_rag,36,1.0,1.0
system2_basic_rag,37,1.0,0.6913
system2_basic_rag,38,1.0,0.9588
system2_basic_rag,39,1.0,0.8717
system2_basic_rag,40,0.5,0.0
system2_basic_rag,41,1.0,0.9164
system2_basic_rag,42,1.0,0.9596
system2_basic_rag,43,1.0,0.978
system2_basic_rag,44,1.0,0.7282
system2_basic_rag,45,1.0,0.844
system2_basic_rag,46,1.0,0.9103
system2_basic_rag,47,1.0,1.0
system2_basic_rag,48,1.0,1.0
system2_basic_rag,49,0.9091,0.7686
system2_basic_rag,50,0.75,0.6051
system3_single_agent,1,1.0,1.0
system3_single_agent,2,1.0,0.983
system3_single_agent,3,1.0,1.0
system3_single_agent,4,1.0,0.9215
system3_single_agent,5,1.0,0.849
system3_single_agent,6,1.0,0.9758
system3_single_agent,7,1.0,0.9455
system3_single_agent,8,0.0,0.9651
system3_single_agent,9,1.0,0.9013
system3_single_agent,10,1.0,0.8101
system3_single_agent,11,1.0,1.0
system3_single_agent,12,1.0,0.7939
system3_single_agent,13,1.0,1.0
system3_single_agent,14,0.0,0.0
system3_single_agent,15,1.0,0.8691
system3_single_agent,16,1.0,0.9575
system3_single_agent,17,1.0,0.6583
system3_single_agent,18,1.0,0.9
system3_single_agent,19,1.0,0.7231
system3_single_agent,20,0.0,0.0
system3_single_agent,21,1.0,1.0
system3_single_agent,22,1.0,0.7118
system3_single_agent,23,1.0,1.0
system3_single_agent,24,1.0,0.8187
system3_single_agent,25,1.0,0.8638
system3_single_agent,26,1.0,0.0
system3_single_agent,27,1.0,1.0
system3_single_agent,28,1.0,0.987
system3_single_agent,29,1.0,1.0
system3_single_agent,30,0.5,0.9877
system3_single_agent,31,1.0,0.9396
system3_single_agent,32,1.0,1.0
system3_single_agent,33,0.5,0.0
system3_single_agent,34,1.0,0.934
system3_single_agent,35,0.6667,0.7533
system3_single_agent,36,0.5,0.5154
system3_single_agent,37,1.0,0.8956
system3_single_agent,38,1.0,0.9533
system3_single_agent,39,1.0,0.8074
system3_single_agent,40,0.0,0.0
system3_single_agent,41,1.0,0.9164
system3_single_agent,42,1.0,0.9696
system3_single_agent,43,1.0,0.978
system3_single_agent,44,0.9,0.9417
system3_single_agent,45,1.0,0.7918
system3_single_agent,46,1.0,0.8673
system3_single_agent,47,1.0,0.9644
system3_single_agent,48,1.0,1.0
system3_single_agent,49,1.0,0.7817
system3_single_agent,50,0.0,0.0
system4_agentic_rag,1,1.0,1.0
system4_agentic_rag,2,0.0,0.0
system4_agentic_rag,3,1.0,1.0
system4_agentic_rag,4,1.0,0.8534
system4_agentic_rag,5,1.0,0.8509
system4_agentic_rag,6,1.0,0.9758
system4_agentic_rag,7,1.0,0.9455
system4_agentic_rag,8,0.0,0.9499
system4_agentic_rag,9,1.0,0.8305
system4_agentic_rag,10,1.0,0.909
system4_agentic_rag,11,1.0,1.0
system4_agentic_rag,12,1.0,0.4241
system4_agentic_rag,13,1.0,1.0
system4_agentic_rag,14,0.0,0.0
system4_agentic_rag,15,1.0,0.9108
system4_agentic_rag,16,1.0,0.9903
system4_agentic_rag,17,1.0,0.5699
system4_agentic_rag,18,1.0,0.9349
system4_agentic_rag,19,0.6667,0.7184
system4_agentic_rag,20,1.0,0.8273
system4_agentic_rag,21,0.75,0.9831
system4_agentic_rag,22,1.0,0.7295
system4_agentic_rag,23,0.5,0.9621
system4_agentic_rag,24,0.8571,0.9651
system4_agentic_rag,25,1.0,0.8933
system4_agentic_rag,26,0.0,0.0
system4_agentic_rag,27,0.0,0.0
system4_agentic_rag,28,1.0,0.9871
system4_agentic_rag,29,0.0,0.0
system4_agentic_rag,30,0.0,0.0
system4_agentic_rag,31,1.0,0.9233
system4_agentic_rag,32,1.0,1.0
system4_agentic_rag,33,0.0,0.0
system4_agentic_rag,34,1.0,0.8933
system4_agentic_rag,35,0.8,0.7801
system4_agentic_rag,36,0.5,0.8417
system4_agentic_rag,37,1.0,0.8956
system4_agentic_rag,38,1.0,0.8282
system4_agentic_rag,39,0.0,0.0
system4_agentic_rag,40,0.0,0.0
system4_agentic_rag,41,1.0,0.9094
system4_agentic_rag,42,1.0,0.9696
system4_agentic_rag,43,1.0,0.978
system4_agentic_rag,44,1.0,0.7556
system4_agentic_rag,45,0.0,0.0
system4_agentic_rag,46,0.75,0.9431
system4_agentic_rag,47,1.0,0.9644
system4_agentic_rag,48,1.0,1.0
system4_agentic_rag,49,0.8235,0.919
system4_agentic_rag,50,0.0,0.0
