mode,id,hit,question_type,difficulty
keyword_only,Q018,1,numerical,medium
hybrid,Q018,1,numerical,medium
vector_only,Q019,1,numerical,medium
keyword_only,Q019,1,numerical,medium
hybrid,Q019,1,numerical,medium
vector_only,Q020,1,numerical,medium
keyword_only,Q020,1,numerical,medium
hybrid,Q020,1,numerical,medium
vector_only,Q021,1,policy_interpretation,hard
keyword_only,Q021,1,policy_interpretation,hard
hybrid,Q021,1,policy_interpretation,hard
vector_only,Q022,1,numerical,medium
keyword_only,Q022,1,numerical,medium
hybrid,Q022,1,numerical,medium
vector_only,Q023,1,policy_interpretation,medium
keyword_only,Q023,1,policy_interpretation,medium
hybrid,Q023,1,policy_interpretation,medium
vector_only,Q024,1,policy_interpretation,hard
keyword_only,Q024,1,policy_interpretation,hard
hybrid,Q024,1,policy_interpretation,hard
vector_only,Q025,1,numerical,medium
keyword_only,Q025,1,numerical,medium
hybrid,Q025,1,numerical,medium
vector_only,Q026,0,numerical,easy
keyword_only,Q026,0,numerical,easy
hybrid,Q026,0,numerical,easy
vector_only,Q027,0,numerical,easy
keyword_only,Q027,0,numerical,easy
hybrid,Q027,0,numerical,easy
vector_only,Q028,0,numerical,easy
keyword_only,Q028,0,numerical,easy
hybrid,Q028,0,numerical,easy
vector_only,Q029,0,numerical,easy
keyword_only,Q029,0,numerical,easy
hybrid,Q029,0,numerical,easy
vector_only,Q030,0,numerical,easy
keyword_only,Q030,0,numerical,easy
hybrid,Q030,0,numerical,easy
vector_only,Q031,0,numerical,easy
keyword_only,Q031,0,numerical,easy
hybrid,Q031,0,numerical,easy
vector_only,Q032,0,numerical,medium
keyword_only,Q032,0,numerical,medium
hybrid,Q032,0,numerical,medium
vector_only,Q033,0,numerical,easy
keyword_only,Q033,0,numerical,easy
hybrid,Q033,0,numerical,easy
vector_only,Q034,0,factual_lookup,easy
keyword_only,Q034,0,factual_lookup,easy
hybrid,Q034,0,factual_lookup,easy
vector_only,Q035,0,multi_hop,hard
keyword_only,Q035,0,multi_hop,hard
hybrid,Q035,0,multi_hop,hard
vector_only,Q036,1,factual_lookup,easy
keyword_only,Q036,1,factual_lookup,easy
hybrid,Q036,1,factual_lookup,easy
vector_only,Q037,1,factual_lookup,easy
keyword_only,Q037,1,factual_lookup,easy
hybrid,Q037,1,factual_lookup,easy
vector_only,Q038,1,numerical,medium
keyword_only,Q038,1,numerical,medium
hybrid,Q038,1,numerical,medium
vector_only,Q039,1,numerical,medium
keyword_only,Q039,1,numerical,medium
hybrid,Q039,1,numerical,medium
vector_only,Q040,1,factual_lookup,easy
keyword_only,Q040,1,factual_lookup,easy
hybrid,Q040,1,factual_lookup,easy
vector_only,Q041,1,factual_lookup,medium
keyword_only,Q041,1,factual_lookup,medium
hybrid,Q041,1,factual_lookup,medium
vector_only,Q042,1,factual_lookup,medium
keyword_only,Q042,1,factual_lookup,medium
hybrid,Q042,1,factual_lookup,medium
vector_only,Q043,1,factual_lookup,medium
keyword_only,Q043,1,factual_lookup,medium
hybrid,Q043,1,factual_lookup,medium
vector_only,Q044,1,policy_interpretation,hard
keyword_only,Q044,1,policy_interpretation,hard
hybrid,Q044,1,policy_interpretation,hard
vector_only,Q045,1,policy_interpretation,medium
keyword_only,Q045,1,policy_interpretation,medium
hybrid,Q045,1,policy_interpretation,medium
vector_only,Q046,1,factual_lookup,easy
keyword_only,Q046,1,factual_lookup,easy
hybrid,Q046,1,factual_lookup,easy
vector_only,Q047,1,numerical,easy
keyword_only,Q047,1,numerical,easy
hybrid,Q047,1,numerical,easy
vector_only,Q048,1,factual_lookup,medium
keyword_only,Q048,1,factual_lookup,medium
hybrid,Q048,1,factual_lookup,medium
vector_only,Q049,1,factual_lookup,medium
keyword_only,Q049,1,factual_lookup,medium
hybrid,Q049,1,factual_lookup,medium
vector_only,Q050,1,multi_hop,hard
keyword_only,Q050,1,multi_hop,hard
hybrid,Q050,1,multi_hop,hard
