kb,id,score,question_type,difficulty,source_page_known
kb-512,Q037,0.8,factual_lookup,easy,True
kb-512,Q038,0.6,numerical,medium,True
kb-512,Q039,0.0,numerical,medium,True
kb-512,Q040,0.2,factual_lookup,easy,True
kb-512,Q041,0.0,factual_lookup,medium,True
kb-512,Q042,0.2,factual_lookup,medium,True
kb-512,Q043,0.4,factual_lookup,medium,True
kb-512,Q044,0.8,policy_interpretation,hard,True
kb-512,Q045,0.0,policy_interpretation,medium,True
kb-512,Q046,0.0,factual_lookup,easy,True
kb-512,Q047,0.4,numerical,easy,True
kb-512,Q048,0.0,factual_lookup,medium,True
kb-512,Q049,0.2,factual_lookup,medium,True
kb-512,Q050,0.0,multi_hop,hard,True
kb-1024,Q001,0.8,factual_lookup,easy,False
kb-1024,Q002,0.8,numerical,easy,False
kb-1024,Q003,0.8,factual_lookup,easy,False
kb-1024,Q004,0.8,factual_lookup,medium,False
kb-1024,Q005,0.6,factual_lookup,medium,False
kb-1024,Q006,0.8,factual_lookup,medium,False
kb-1024,Q007,0.4,factual_lookup,medium,False
kb-1024,Q008,0.4,factual_lookup,medium,False
kb-1024,Q009,0.4,factual_lookup,medium,False
kb-1024,Q010,0.6,factual_lookup,easy,False
kb-1024,Q011,0.4,numerical,easy,False
kb-1024,Q012,1.0,factual_lookup,medium,False
kb-1024,Q013,0.8,numerical,easy,False
kb-1024,Q014,0.6,numerical,easy,False
kb-1024,Q015,1.0,numerical,easy,False
kb-1024,Q016,1.0,numerical,easy,False
kb-1024,Q017,1.0,numerical,medium,False
kb-1024,Q018,0.8,numerical,medium,False
kb-1024,Q019,1.0,numerical,medium,False
kb-1024,Q020,1.0,numerical,medium,False
kb-1024,Q021,1.0,policy_interpretation,hard,False
kb-1024,Q022,0.6,numerical,medium,False
kb-1024,Q023,0.4,policy_interpretation,medium,False
kb-1024,Q024,1.0,policy_interpretation,hard,False
kb-1024,Q025,0.6,numerical,medium,False
kb-1024,Q026,0.2,numerical,easy,False
kb-1024,Q027,0.6,numerical,easy,False
kb-1024,Q028,0.6,numerical,easy,False
kb-1024,Q029,0.2,numerical,easy,False
kb-1024,Q030,0.6,numerical,easy,False
kb-1024,Q031,0.6,numerical,easy,False
kb-1024,Q032,0.6,numerical,medium,False
kb-1024,Q033,0.4,numerical,easy,True
kb-1024,Q034,0.4,factual_lookup,easy,True
kb-1024,Q035,0.8,multi_hop,hard,True
kb-1024,Q036,0.2,factual_lookup,easy,True
kb-1024,Q037,0.6,factual_lookup,easy,True
kb-1024,Q038,0.6,numerical,medium,True
kb-1024,Q039,0.0,numerical,medium,True
kb-1024,Q040,0.2,factual_lookup,easy,True
kb-1024,Q041,0.0,factual_lookup,medium,True
kb-1024,Q042,0.2,factual_lookup,medium,True
kb-1024,Q043,0.2,factual_lookup,medium,True
kb-1024,Q044,0.6,policy_interpretation,hard,True
kb-1024,Q045,0.0,policy_interpretation,medium,True
kb-1024,Q046,0.0,factual_lookup,easy,True
kb-1024,Q047,0.4,numerical,easy,True
kb-1024,Q048,0.0,factual_lookup,medium,True
kb-1024,Q049,0.2,factual_lookup,medium,True
kb-1024,Q050,0.0,multi_hop,hard,True
